team,year,region,seed,play-in,rd_1,rd_2,rd_3,rd_4,rd_5,rd_6,TPPG,TPPG_last3,FGPG,FGPG_last3,FTAPG,FTAPG_last3,FTMPP,FTMPP_last3,ORP,ORP_last3,ORPG,ORPG_last3,DRP,DRP_last3,DRPG,DRPG_last3,APG,APG_last3,FPG,FPG_last3,ASM,ASM_last3,ATR,ATR_last3,OE,OE_last3,DE,DE_last3
Arizona,2002,west,3,NA,1,1,0,0,0,0,7.7,6.3,28,27.7,26.4,26.7,25.144,27.219,0.336,0.295,10.8,7.7,0.652,0.657,22.9,23,15.8,12,18.1,16.3,5.1,13,1.098,0.973,1.083,1.126,1.016,0.946
Ohio State,2002,west,4,NA,1,0,0,0,0,0,5.5,6.3,25.7,27.7,25.3,29,24.983,31.938,0.358,0.37,9.8,9,0.714,0.753,20.6,18.3,15.1,15.3,18.8,21,9.6,7.3,1.101,1.179,1.087,1.188,0.946,1.085
Miami (FL),2002,west,5,NA,0,0,0,0,0,0,7.4,7.7,25.6,28.3,20.7,18.3,21.712,20.322,0.324,0.378,10.3,14,0.662,0.686,23,19.7,16.4,17,18.1,16.7,8.1,3,1.131,1.5,1.015,1.075,0.905,1.034
Gonzaga,2002,west,6,NA,0,0,0,0,0,0,7.1,8.3,27.5,29,25.8,32.7,25.825,28.96,0.379,0.398,11.8,13.7,0.726,0.701,26.3,25,15.9,18.7,17.2,20,13.8,10.7,1.113,1.556,1.108,1.163,0.919,1.022
Xavier,2002,west,7,NA,1,0,0,0,0,0,6.2,5.7,24.4,20.3,24.6,28,25.681,33.276,0.351,0.278,10.5,7.3,0.68,0.728,23.1,22.3,12.7,11.3,15.8,12.7,10.5,8.7,0.945,0.944,1.057,1.044,0.905,0.911
UCLA,2002,west,8,NA,1,1,0,0,0,0,6.8,7,26.8,22.3,19.9,18.3,19.185,16.704,0.339,0.333,10.1,10,0.686,0.731,23,22.7,14.3,11.3,16.9,13.3,2,-0.3,0.939,0.773,1.043,0.952,1.014,0.957
Mississippi,2002,west,9,NA,0,0,0,0,0,0,7.6,7.3,24,24.3,22.7,17.7,24.208,20.307,0.338,0.325,9.3,8.3,0.716,0.704,21.1,16.7,13.8,9.3,19.9,21.3,8.4,7.7,0.909,0.718,1.05,1.078,0.928,0.958
Hawaii,2002,west,10,NA,0,0,0,0,0,0,7.3,7.3,24.8,26,22.2,25,22.208,27.384,0.298,0.298,8.6,9.3,0.654,0.682,21.4,25,16.8,14.7,18.2,16.7,9.3,17,1.371,1.692,1.055,1.144,0.919,0.895
Wyoming,2002,west,11,NA,1,0,0,0,0,0,4.4,4.3,25.6,20.7,28.1,27.3,27.075,31.466,0.372,0.344,11.6,10.3,0.742,0.769,24.9,20,13.3,8,19.9,17,6.4,0.7,0.912,0.96,1.041,1.058,0.953,1.047
Missouri,2002,west,12,NA,1,1,1,0,0,0,9.2,9.7,28.8,31,18.5,23,17.646,17.144,0.389,0.336,13.2,12,0.683,0.725,22,24.7,14.9,13,18.6,21,7.3,4.3,1.06,0.886,1.095,1.07,0.994,1.016
Davidson,2002,west,13,NA,0,0,0,0,0,0,7.6,4.3,22.5,14.3,18.5,14.7,18.718,23.968,0.3,0.286,9.4,4.7,0.683,0.8,22.8,18.7,13.8,8.7,17.8,10,0.1,9.3,0.926,0.929,0.991,1.554,0.99,1.338
UCSB,2002,west,14,NA,0,0,0,0,0,0,6.3,4.7,22.3,21.3,20.7,26,24.258,31.108,0.309,0.312,8.4,8.3,0.724,0.736,23.6,22.3,14.6,9.7,17.8,15.3,6,6,1.055,0.879,1.029,1.073,0.937,0.976
IL-Chicago,2002,west,15,NA,0,0,0,0,0,0,7.4,8.3,24.3,25,24.2,28,22.562,26.964,0.311,0.353,10.4,12,0.657,0.641,19.9,25,13,12.7,20.7,21.7,0.3,8,1.029,1.118,1.024,1.128,1.02,1.01
Boston U,2002,west,16,NA,0,0,0,0,0,0,6.4,7,23.6,24,20.5,24.3,20.907,25.305,0.34,0.357,10.7,11.7,0.689,0.702,23.5,24.3,12.5,13,18.8,17.3,4.5,13,0.963,1.258,1.007,1.088,0.941,0.891
Oklahoma,2003,east,1,NA,1,1,1,0,0,0,7.4,8.7,25.5,25.3,18.9,19.3,20.081,16.932,0.354,0.348,11.1,10.7,0.728,0.728,23,22.3,14.2,13,18.9,22.3,11.3,5.7,1.201,1,1.074,1.056,0.905,0.971
Wake Forest,2003,east,2,NA,1,0,0,0,0,0,6.1,6.7,26.1,25,26.6,26.3,28.206,30.073,0.422,0.385,13.4,12.3,0.696,0.81,25.6,22.7,14.6,14.3,18.5,18,10.8,3.3,0.977,1.229,1.104,1.153,0.952,1.103
Syracuse,2003,east,3,NA,1,1,1,1,1,1,5.2,3.3,29.2,26.3,23.6,26.7,22.115,24.742,0.394,0.437,13.1,17.3,0.654,0.537,24.9,19.3,15,13.3,16.6,17.7,10.2,0.3,1.116,1.026,1.082,0.99,0.944,0.985
Louisville,2003,east,4,NA,1,0,0,0,0,0,8.4,6.3,28,25.3,25.1,34.7,23.538,31.961,0.35,0.355,11.9,14.7,0.68,0.708,24.1,25,16.6,13.7,22.7,20.3,13.4,8,1.254,1.242,1.103,1.079,0.923,0.972
Miss State,2003,east,5,NA,0,0,0,0,0,0,5.6,7.3,26.5,26.3,17.8,16.7,17.578,18.002,0.377,0.312,11.2,8,0.719,0.684,23.1,22.3,14.7,15,15.8,15.3,10.6,15.3,0.945,1.071,1.032,1.08,0.877,0.85
Oklahoma St,2003,east,6,NA,1,0,0,0,0,0,4.9,5,24.7,22.3,22.3,22.7,20.83,20.267,0.347,0.37,10.8,12.3,0.646,0.631,22.3,25.7,12.1,11.7,20.2,19,6.5,3.7,0.835,0.761,0.984,0.922,0.89,0.869
St Josephs,2003,east,7,NA,0,0,0,0,0,0,8,5.3,24.2,21.3,20.7,21.7,20.891,25.7,0.32,0.34,9.7,10.7,0.662,0.615,22.5,21.3,14,9.3,18.8,19.7,11.3,6.7,1.106,0.778,1.046,1.012,0.878,0.907
California,2003,east,8,NA,1,0,0,0,0,0,6.4,5.7,27.3,24,19.5,15.3,18.449,14.145,0.314,0.353,9.8,12,0.711,0.632,22.7,22.3,16,11.3,17.1,16.3,4.7,-2,1.14,0.773,1.027,0.901,0.962,0.929
NC State,2003,east,9,NA,0,0,0,0,0,0,8.1,9.7,24.3,25,20.3,22.3,22.944,25.842,0.304,0.253,8.6,6.7,0.689,0.66,20.1,22.7,14.7,14.7,18.4,18.7,4.8,1.3,1.078,1.158,1.061,1.165,0.991,1.145
Auburn,2003,east,10,NA,1,1,0,0,0,0,5.6,3,25.7,22.3,19.7,13,18.874,12.956,0.364,0.32,10.9,10.7,0.662,0.622,21.3,18.7,13.4,8,16.4,14.7,4.5,-9.7,0.841,0.533,1.013,0.842,0.947,0.987
