team,year,region,seed,play-in,rd_1,rd_2,rd_3,rd_4,rd_5,rd_6,TPPG,TPPG_last3,FGPG,FGPG_last3,FTAPG,FTAPG_last3,FTMPP,FTMPP_last3,ORP,ORP_last3,ORPG,ORPG_last3,DRP,DRP_last3,DRPG,DRPG_last3,APG,APG_last3,FPG,FPG_last3,ASM,ASM_last3,ATR,ATR_last3,OE,OE_last3,DE,DE_last3
Utah State,2011,southeast,12,NA,0,0,0,0,0,0,5.8,4.7,24.4,23.7,22.7,22.7,25.471,24.46,0.306,0.305,9.4,8,0.764,0.736,25.5,26,14.5,11.3,17.2,16.3,13.3,18,1.245,0.872,1.088,0.993,0.885,0.734
Belmont,2011,southeast,13,NA,0,0,0,0,0,0,9.4,9.7,27.2,26.3,22.3,24.3,23.062,25.677,0.368,0.511,11.4,16,0.692,0.663,22,18.3,16.2,16.3,20.8,18.7,18.4,21.3,1.182,1.195,1.127,1.18,0.869,0.864
Wofford,2011,southeast,14,NA,0,0,0,0,0,0,5.8,3.7,26.1,27,22.8,23.7,23.542,30.826,0.225,0.204,9.5,10.3,0.681,0.676,19.6,24.3,14.4,8.3,19.2,17.3,6,12.3,1.227,1,1.101,1.212,1.012,1.019
UCSB,2011,southeast,15,NA,0,0,0,0,0,0,7,8.3,23.1,24.3,19.1,25.3,21.796,26.175,0.302,0.235,7.7,5,0.694,0.68,22.6,29,14,13.3,19.7,19.7,2.1,13.3,0.993,1.053,1.012,1.076,0.98,0.885
NC-Asheville,2011,southeast,16,1,0,0,0,0,0,0,4.9,4.3,25.2,23.3,23.5,21,22.712,21.149,0.302,0.351,9.8,11.3,0.649,0.624,21.5,17.7,14,12.7,19.7,18.7,3.1,13,0.923,1.118,0.991,1.001,0.948,0.8
Kansas,2011,southwest,1,NA,1,1,1,0,0,0,7.3,6.3,29.6,27.7,23.4,24,22.327,25.99,0.4,0.312,10.9,13.3,0.743,0.738,25.6,25.3,17.9,14.7,17.9,18.3,17.1,6.7,1.345,1.375,1.154,1.167,0.914,1.069
Notre Dame,2011,southwest,2,NA,1,0,0,0,0,0,8.1,9,25.1,27.7,24.4,20,26.517,22.013,0.35,0.341,9.5,8.3,0.733,0.649,24.4,24,16.7,16.3,15,15.7,10.4,11.7,1.616,2.042,1.137,1.208,0.982,1.029
Purdue,2011,southwest,3,NA,1,0,0,0,0,0,6.9,6.3,25.7,23,20.2,20.3,21.127,19.12,0.401,0.515,9.4,6.7,0.722,0.728,22.5,22.3,15.8,13.3,18,18.7,11.2,-4,1.538,2.222,1.07,0.961,0.905,1.02
Louisville,2011,southwest,4,NA,0,0,0,0,0,0,8.8,9,27.3,28,18,15.7,17.083,16.692,0.324,0.323,11.6,15,0.679,0.67,23,23,17.5,18,19.2,20.3,10.7,9.3,1.356,1.459,1.07,1.097,0.918,0.963
Vanderbilt,2011,southwest,5,NA,0,0,0,0,0,0,7.8,6.7,25,23.7,24.7,22,26.224,26.339,0.308,0.276,9.6,9.7,0.704,0.719,24.5,23,13.4,12.3,16.2,14,8.6,2.3,1.023,1.423,1.085,1.068,0.963,1.034
Georgetown,2011,southwest,6,NA,0,0,0,0,0,0,7,5.3,25.5,19,17.9,14.3,19.671,15.761,0.345,0.382,8.4,8.3,0.697,0.707,22.2,19.3,15.1,8,18.6,18.7,4.9,-15.3,1.155,0.615,1.067,0.841,0.993,1.082
Texas A&M,2011,southwest,7,NA,0,0,0,0,0,0,5.4,5,23,21.7,24.6,30.3,26.329,32.702,0.305,0.308,10.6,9.3,0.722,0.667,22.3,20.7,13.4,13.7,18.5,21,7.1,5,1.027,1.025,1.043,1.057,0.935,0.981
UNLV,2011,southwest,8,NA,0,0,0,0,0,0,5.5,8,25.7,26,21.8,17.7,21.861,19.974,0.286,0.307,10.2,9.3,0.701,0.748,22.2,25.7,15.5,18,19.3,16,9.3,11.3,1.23,1.5,1.044,1.122,0.909,0.948
Illinois,2011,southwest,9,NA,1,0,0,0,0,0,6.8,6.7,26.3,25.7,16.1,9,17.296,10.518,0.285,0.233,8.7,6,0.696,0.79,23,26.3,16.6,16.7,17.6,15.7,6.1,3.7,1.324,1.471,1.049,1.02,0.96,0.962
Florida St,2011,southwest,10,NA,1,1,0,0,0,0,6.2,4.3,24.5,26.7,21.4,11,19.826,9.899,0.337,0.348,11.1,9.7,0.709,0.736,24.6,22.3,12.5,12.3,19.3,18.7,7.1,2.3,0.78,0.86,0.971,0.955,0.872,0.921
VCU,2011,southwest,11,1,1,1,1,1,0,0,8.2,8,24.3,21.3,20.6,27.3,22.056,27.59,0.354,0.376,9.9,8,0.66,0.618,20,18.3,14.2,13,18.2,20,4.1,4.3,1.258,1.114,1.064,1.052,1.003,0.986
Richmond,2011,southwest,12,NA,1,1,0,0,0,0,7.8,4.7,25.1,20,17.7,22.3,18.765,25.008,0.289,0.22,8,10.7,0.684,0.759,22.6,29.3,15,10,16.2,14.7,9.1,8.7,1.439,0.938,1.077,0.963,0.938,0.825
Morehead St,2011,southwest,13,NA,1,0,0,0,0,0,5.9,3.7,24.1,25,21.8,27,22.288,30.866,0.359,0.376,12,13,0.738,0.736,21.5,26,12.1,13,19.2,19.7,6.8,13,0.817,0.812,1.041,1.085,0.938,0.897
St Peters,2011,southwest,14,NA,0,0,0,0,0,0,5.8,4.3,21.1,22.3,20.8,18.7,19.898,24.056,0.316,0.31,9.9,6.3,0.681,0.612,22.2,21,11.3,11.3,19.5,18.7,1.5,9.7,0.776,0.791,0.912,0.993,0.89,0.845
Akron,2011,southwest,15,NA,0,0,0,0,0,0,7.9,8,24.6,26.3,18.2,24,18.605,19.847,0.263,0.307,8.5,11.7,0.685,0.657,22.4,30,14.3,15,19.2,23.3,3.6,6.3,1.2,1.25,1.008,1.001,0.956,0.917
Boston U,2011,southwest,16,NA,0,0,0,0,0,0,7.5,4,21.5,17.3,20.1,27,22.544,35.298,0.322,0.25,9.8,7,0.689,0.75,21.7,24,9.9,4.3,18.2,15.7,2,5.7,0.84,0.433,1.002,0.993,0.971,0.899
Duke,2011,west,1,NA,1,1,0,0,0,0,8,4.7,28.1,26,22.7,25,23.619,28.485,0.313,0.315,10.8,11,0.689,0.637,24.2,21.7,14.4,10.7,17.8,22,16.8,5.3,1.178,0.865,1.123,1.079,0.891,1.004
San Diego St,2011,west,2,NA,1,1,0,0,0,0,5.8,5.7,26.1,26.3,18.7,16.3,19.983,17.55,0.288,0.269,11.3,12.3,0.723,0.716,23.2,22.7,13.2,14,15.2,12.3,12.1,11.3,1.219,1.167,1.087,1.053,0.901,0.883
Connecticut,2011,west,3,NA,1,1,1,1,1,1,5.8,3.3,26,24.7,20.6,25.3,22.526,30.903,0.38,0.442,12.5,14,0.678,0.616,23.5,20.3,13.1,8.7,15.9,14,7,3.3,1.136,0.765,1.062,1.084,0.96,1.035
Texas,2011,west,4,NA,1,0,0,0,0,0,5.7,6.3,26.5,27.3,25.2,16.7,23.195,17.557,0.366,0.326,11.9,12,0.722,0.75,25.3,22,13.5,14.3,17.2,17.3,13.5,6.7,1.151,1.344,1.068,1.121,0.875,1.017
Arizona,2011,west,5,NA,1,1,1,0,0,0,7.9,8.7,25.4,25.7,23.8,19.7,25.604,19.678,0.319,0.293,8.9,9,0.733,0.685,23,20.3,14.1,12.7,18.6,14.7,9.1,4,1.101,1.226,1.103,1.082,0.972,1.023
Cincinnati,2011,west,6,NA,1,0,0,0,0,0,6.4,6.3,24.2,21.7,21.4,26.7,21.817,30.674,0.372,0.333,11.5,9.3,0.713,0.722,21.3,21.7,14.3,12,17.2,17,9.8,3.3,1.249,1.125,1.056,1.095,0.907,1.042
Temple,2011,west,7,NA,1,0,0,0,0,0,6.1,8,25.6,29,19.7,19.7,20.201,20.369,0.368,0.351,9.9,9.7,0.733,0.698,23.1,20,15.2,16.7,15.9,14.7,8.8,8,1.423,2.632,1.049,1.164,0.919,1.048
Michigan,2011,west,8,NA,1,0,0,0,0,0,8.1,8.3,23.5,21,14.8,17.3,16.397,21.133,0.34,0.316,7.1,5.7,0.721,0.667,21.8,20,13.4,12,16.8,17.7,2.9,1.7,1.349,1.44,1.035,1.009,0.99,0.983
Tennessee,2011,west,9,NA,0,0,0,0,0,0,5.2,2.7,24.9,24.7,22.8,22.3,22.425,24.685,0.36,0.364,12.1,11,0.708,0.7,22.5,18.7,13.1,10,19.5,23,3.3,-3.7,1.005,0.882,1.015,1.017,0.967,1.071
Penn State,2011,west,10,NA,0,0,0,0,0,0,6.3,6,22.5,18.7,16.5,14.7,19.456,17.378,0.318,0.278,8.5,8.3,0.722,0.756,20.1,21.7,12.3,10,15.6,12,1,7.3,1.18,1.154,1.032,0.981,1.016,0.844
Missouri,2011,west,11,NA,0,0,0,0,0,0,7.1,4.3,28.9,22.3,21.8,31.7,21.353,34.16,0.316,0.374,10.3,9.3,0.654,0.609,21.2,18.7,16.2,12.7,20.6,24.7,9,-5,1.297,1.152,1.079,0.985,0.959,1.051
Memphis,2011,west,12,NA,0,0,0,0,0,0,6,7.3,25.4,22.7,22.3,23,21.155,25.836,0.283,0.227,10.4,8,0.671,0.688,21.9,21.3,14.6,13,20.2,18.7,3.9,8,0.967,1,1.006,1.059,0.951,0.937
Oakland,2011,west,13,NA,0,0,0,0,0,0,8,8.3,29.9,36.7,24.1,18,23.373,17.529,0.313,0.317,11,11.3,0.704,0.667,24.9,22,16.1,17.3,18.6,17.3,8.5,16.7,1.183,2.737,1.147,1.336,1.032,1.099
Bucknell,2011,west,14,NA,0,0,0,0,0,0,6.9,7.3,24.6,23,18.7,24.3,21.681,26.322,0.241,0.231,6.8,7,0.739,0.771,24.1,28,14.7,16,18.2,17.7,7.3,14.7,1.304,1.263,1.042,1.015,0.934,0.808
N Colorado,2011,west,15,NA,0,0,0,0,0,0,8,8,22.5,22,23.4,29.7,26.553,30.977,0.322,0.258,9.7,11,0.729,0.765,22.3,25,11.6,12,19.4,17.3,4.4,12.7,0.802,0.75,1.042,1.042,0.978,0.864
Hampton,2011,west,16,NA,0,0,0,0,0,0,6.4,6.3,22.6,22.7,23.6,33,21.829,31.239,0.259,0.247,9.5,9.7,0.667,0.67,22.8,25.7,11.8,11.7,18.5,18.3,5,17,0.995,1,0.957,1.035,0.885,0.797
Syracuse,2012,east,1,NA,1,1,1,0,0,0,6.4,8,27.5,20.7,18.8,19,19.279,18.962,0.357,0.301,11.2,9.3,0.637,0.607,21.3,21.7,15.8,12.7,15.1,13.7,14.2,3,1.528,1.118,1.103,0.969,0.894,0.922
Ohio State,2012,east,2,NA,1,1,1,1,0,0,4.9,4.3,27.7,30.7,21.3,18.7,21.915,19.086,0.348,0.301,10.7,9.3,0.777,0.747,23.8,24.7,15.2,15.7,16,17,16.3,13.7,1.317,1.679,1.106,1.131,0.866,0.935
Florida St,2012,east,3,NA,1,0,0,0,0,0,6,7.7,25,24.7,19.7,22.7,19.656,25.677,0.35,0.315,10.5,9.3,0.701,0.629,23.4,22,11.9,13.3,18.8,15.7,7.6,7.3,0.735,0.93,0.994,1.085,0.887,0.979
Wisconsin,2012,east,4,NA,1,1,0,0,0,0,7.6,9,22.1,21.7,16.2,19,19.86,23.46,0.293,0.256,8.7,7.3,0.74,0.753,22.5,19.3,11.7,12.3,14.2,14.7,11,3,1.31,1.194,1.055,1.072,0.873,1.024
Vanderbilt,2012,east,5,NA,1,0,0,0,0,0,8.7,7.3,24.8,23.7,21,14.3,21.665,13.237,0.311,0.286,9.2,10,0.695,0.733,21.8,21,13,12.3,16,17,8,9,1.002,1.276,1.078,1.001,0.96,0.858
Cincinnati,2012,east,6,NA,1,1,0,0,0,0,7.1,5,25.1,24.3,17.5,15.3,16.918,12.959,0.35,0.308,12,11,0.678,0.667,21.3,20.7,13,11.7,15.1,14,7.3,-0.3,1.246,1,1.031,0.932,0.921,0.937
Gonzaga,2012,east,7,NA,1,0,0,0,0,0,6.4,8.3,24.9,31.3,24.8,14.7,25.829,13.885,0.321,0.27,9,8,0.746,0.779,24.4,27,13.7,18,15.2,14.3,10.8,15.7,1.057,1.742,1.079,1.125,0.922,0.907
Kansas St,2012,east,8,NA,1,0,0,0,0,0,5.7,7.7,24.8,26.7,24.1,19,23.037,22.2,0.391,0.372,12.5,10.7,0.69,0.684,21.7,18,14.5,16.7,20.1,15.7,7.7,5.7,1.014,1.351,1.026,1.145,0.915,1.06
S Mississippi,2012,east,9,NA,0,0,0,0,0,0,6.2,5.7,23.7,25.3,23.3,25.7,25.514,23.276,0.35,0.319,11.8,12.7,0.735,0.759,21,21,10.8,9,19.1,20,4.5,-4,1.028,1.588,1.052,1.036,0.985,1.093
W Virginia,2012,east,10,NA,0,0,0,0,0,0,5.3,3.3,25.7,23.7,22.2,25.3,21.799,28.192,0.388,0.456,12.8,15.7,0.714,0.782,21.8,22.7,14.6,11.7,16.7,16.7,5.5,6.3,1.159,1.25,1.047,1.034,0.967,0.94
Texas,2012,east,11,NA,0,0,0,0,0,0,5.8,3.7,24.7,24.3,24.4,19.7,25.919,21.908,0.368,0.379,11.6,14.7,0.674,0.671,21.2,17.7,12.4,10.3,19.5,16,6.2,-6,1.002,1.069,1.061,1.001,0.97,1.09
Harvard,2012,east,12,NA,0,0,0,0,0,0,5.8,6.7,22,21.3,20.3,21,24.445,26.777,0.293,0.274,7.3,5.7,0.758,0.779,22.9,20,12.9,15,15.2,13.7,10,3.3,1.045,0.957,1.046,1.06,0.885,1.007
Montana,2012,east,13,NA,0,0,0,0,0,0,6.4,6.7,24.8,25.3,21.1,23.3,22.346,26.712,0.255,0.31,7.4,8.7,0.691,0.717,22.3,22,13.8,12,18.6,14,9,14,1.12,1.125,1.049,1.134,0.916,0.922
St Bonavent,2012,east,14,NA,0,0,0,0,0,0,5.4,5,24.2,26.3,22.4,22,25.208,21.624,0.355,0.378,10.1,11.3,0.714,0.682,22.1,20,13.8,11.7,18.5,19.3,5.5,-1,0.981,0.875,1.054,1.086,0.972,1.101
Loyola-MD,2012,east,15,NA,0,0,0,0,0,0,5,5,23,23.7,23.1,19.7,24.936,24.883,0.373,0.306,11.2,7.3,0.691,0.733,20.6,22,12,13.7,18.7,15.7,3.8,9,0.921,1.171,1.016,1.08,0.959,0.937
NC-Asheville,2012,east,16,NA,0,0,0,0,0,0,6.4,5,25.8,27.7,26.7,32.7,28.818,36.549,0.318,0.353,9.5,10,0.662,0.695,21.2,22,15.3,17.7,17.9,15.7,6.2,22.7,1.153,1.963,1.099,1.236,1.012,0.909
N Carolina,2012,midwest,1,NA,1,1,1,0,0,0,5.1,5.3,30.1,30.3,24.8,21,22.509,19.624,0.39,0.299,13.8,8.7,0.747,0.781,28.4,27.3,17.6,17.7,14.8,18,15.7,12,1.475,1.325,1.099,1.079,0.889,0.919
Kansas,2012,midwest,2,NA,1,1,1,1,1,0,6,5.3,26.6,25.7,22.5,27,22.803,28.444,0.331,0.342,9.7,9,0.731,0.661,24.8,24,15.6,14,17.6,17.3,13.1,6,1.187,1.135,1.09,1.118,0.9,1.03
Georgetown,2012,midwest,3,NA,1,0,0,0,0,0,5.5,3.7,24.2,24.7,20.8,23.7,22.032,21.224,0.349,0.343,10,11.7,0.728,0.708,23.7,25,13.5,12.7,17.8,19.7,9.3,-1.3,1.077,0.95,1.04,0.979,0.898,0.998
Michigan,2012,midwest,4,NA,0,0,0,0,0,0,8.1,7.3,23.9,22,15.1,20.7,17.307,23.451,0.266,0.305,7.5,8.3,0.706,0.591,21,18.3,12.8,8.7,15.7,16.3,4.5,-4,1.196,0.65,1.062,1.037,0.991,1.1
Temple,2012,midwest,5,NA,0,0,0,0,0,0,7.3,6.3,27.3,28,19.7,23.3,20.094,23.514,0.306,0.327,9.3,10.7,0.697,0.734,22.7,23,15.6,17.3,17.7,14.3,6.1,5.3,1.27,1.13,1.079,1.049,0.992,0.98
San Diego St,2012,midwest,6,NA,0,0,0,0,0,0,5.6,7.7,25.2,24.7,20.2,15.3,20.667,16.429,0.294,0.278,9,8.3,0.743,0.756,24.6,22.7,12.3,11.7,16.1,17,5.9,1.3,0.979,1.061,1.023,1.042,0.938,1.022
St Marys,2012,midwest,7,NA,0,0,0,0,0,0,7.2,8.3,25.5,26,21.5,20.7,23.851,23.745,0.359,0.317,10.7,8.7,0.759,0.79,23.7,26.3,15.4,15,15.9,13.3,10.9,5.3,1.32,1.25,1.124,1.152,0.957,1.071
Creighton,2012,midwest,8,NA,1,0,0,0,0,0,8.2,8,28,29,21.5,23,22.861,24.858,0.301,0.296,8.3,8,0.756,0.827,25,28.7,17.9,17,17,16.7,10.5,13,1.478,1.759,1.159,1.195,1.007,1.009
Alabama,2012,midwest,9,NA,0,0,0,0,0,0,4,3,23.6,20.7,19.1,19.7,21.006,23.91,0.32,0.295,9.2,7.7,0.705,0.719,23.2,23,12.3,10.3,18.4,18.7,6.8,-2,0.956,0.795,0.999,0.962,0.894,0.994
Purdue,2012,midwest,10,NA,1,0,0,0,0,0,8.2,11,25.5,27,19.8,15.3,19.47,14.423,0.294,0.202,9.2,6,0.71,0.75,20.5,20,13.7,14,17.7,16,6.2,-3.3,1.603,1.68,1.091,1.114,0.998,1.164
NC State,2012,midwest,11,NA,1,1,0,0,0,0,5.4,5.3,26.7,27.3,20.7,18.7,21.153,14.961,0.348,0.275,10.8,9.3,0.713,0.779,23.8,24.7,16,14.7,17,18.3,5.4,7.3,1.248,1.158,1.058,0.991,0.981,0.888
S Florida,2012,midwest,12,1,1,0,0,0,0,0,4.6,4,21.2,18,16.7,15,19.359,18.386,0.318,0.211,8.6,5.3,0.704,0.745,21.8,23.3,11.6,8.7,15.4,16.7,1.5,-0.3,0.894,0.65,0.961,0.852,0.937,0.858
Ohio,2012,midwest,13,NA,1,1,0,0,0,0,7.2,9,24.4,24.3,20.9,18.7,20.774,17.591,0.347,0.389,11,12.3,0.669,0.605,19.8,17.3,12.9,13.3,19.8,17.3,7.5,4,0.984,1.379,1.024,1.098,0.914,1.034
Belmont,2012,midwest,14,NA,0,0,0,0,0,0,8.8,8.7,27.9,24,22.8,27,23.777,28.471,0.32,0.301,9.8,9.3,0.69,0.8,23.3,28,17.3,12.3,18.2,16.3,13.9,12,1.452,1.276,1.155,1.119,0.958,0.943
Detroit,2012,midwest,15,NA,0,0,0,0,0,0,4.5,5.3,24.3,25.7,24.1,25,26.079,27.305,0.341,0.322,10.1,9.3,0.692,0.735,20.2,20.3,12.6,13.3,19.3,19,2.9,14,1.005,1.143,1.037,1.102,0.994,0.897
Vermont,2012,midwest,16,1,0,0,0,0,0,0,5.4,6.7,23.5,20.3,20.1,16,22.896,18.532,0.327,0.216,9.6,6.3,0.717,0.78,22.7,28.3,13.3,11.7,17.3,13.7,6.7,7.3,1.108,0.897,1.034,0.916,0.931,0.803
Kentucky,2012,south,1,NA,1,1,1,1,1,1,5.7,3.7,27.5,25.3,22.7,21.3,24.317,23.357,0.378,0.378,11.1,11.3,0.72,0.732,25.2,23.7,13.3,11,14.2,10.3,18.4,9,1.165,1,1.141,1.08,0.868,0.939
Duke,2012,south,2,NA,0,0,0,0,0,0,8.1,5.3,25.8,21.7,25.5,19,25.575,21.866,0.335,0.295,10.6,9.3,0.686,0.583,23.2,18.7,12.5,9.7,18.2,18,9.1,-5.7,1.033,0.967,1.109,0.961,0.979,1.048
Baylor,2012,south,3,NA,1,1,1,0,0,0,6.7,6.3,26.1,27.3,20.4,23.7,22.335,26.673,0.37,0.424,10.8,14,0.693,0.696,22.8,21.3,14.7,15,17.6,20,9,0.7,1.066,1.324,1.08,1.154,0.949,1.145
Indiana,2012,south,4,NA,1,1,0,0,0,0,6.4,7,26,24,24.8,27.7,27.729,32.934,0.335,0.308,9.2,8,0.713,0.74,22.6,24.7,13.4,11.7,17.6,15.3,11.7,6.7,1.067,1.094,1.131,1.153,0.96,1.053
Wichita St,2012,south,5,NA,0,0,0,0,0,0,7,6.7,27.4,27.3,20.1,14,21.867,15.765,0.325,0.361,9.5,11.7,0.767,0.806,25.6,27.7,14.5,12.3,17,16.3,14.2,15.3,1.232,1,1.112,1.037,0.907,0.817
UNLV,2012,south,6,NA,0,0,0,0,0,0,8.3,6.3,26.7,21.3,20.8,23.3,19.823,24.456,0.317,0.181,10.2,5.7,0.722,0.783,24.8,24,17.4,13.3,17.4,18,9.6,4.7,1.28,1.143,1.061,0.964,0.927,0.895
Notre Dame,2012,south,7,NA,0,0,0,0,0,0,6.4,5,22.9,21,20.1,21.3,22.286,21.872,0.292,0.312,8.9,10,0.702,0.739,22.4,21.7,14.5,15,13.7,10.7,5,-1.3,1.471,1.552,1.04,0.971,0.963,0.992
Iowa State,2012,south,8,NA,1,0,0,0,0,0,8.9,8.7,24.9,26.3,21.4,14.7,21.262,15.389,0.312,0.327,9.8,10.7,0.748,0.733,24.7,24.7,14.6,16,16,18,6.5,-1.3,1.167,1.263,1.069,1.012,0.974,1.031
Connecticut,2012,south,9,NA,0,0,0,0,0,0,5.4,7,25.4,26,19.2,18.7,19.155,14.936,0.369,0.337,11,10.3,0.677,0.63,23.2,22.7,13.6,15,14.3,14.7,4.7,5,1.106,1.406,1.036,1.031,0.965,0.956
Xavier,2012,south,10,NA,1,1,0,0,0,0,5,4,25.3,24.3,22.8,26,22.315,27.906,0.301,0.265,9.2,7.3,0.728,0.74,24.1,23.7,13.6,10,18.8,18.7,3.8,5.7,1.056,1.111,1.011,1.081,0.958,0.994
Colorado,2012,south,11,NA,1,0,0,0,0,0,5.6,5,22.7,23,22.2,16,22.91,17.589,0.273,0.215,8.1,5.7,0.734,0.694,23.9,22.7,11.4,9,17.1,15,2.7,4.7,0.922,1.125,0.994,0.991,0.953,0.917
VCU,2012,south,12,NA,1,0,0,0,0,0,7.4,8,23.2,22.7,21.1,26.7,21.808,24.174,0.325,0.24,11,7.7,0.683,0.605,20.3,16.3,12.2,10.3,18.2,18,8.6,7.7,1.089,1.192,1.024,1.048,0.895,0.932
N Mex State,2012,south,13,NA,0,0,0,0,0,0,4.6,4,26.5,28.7,29.9,26.7,27.504,27.012,0.405,0.523,13.2,15.3,0.727,0.71,24.4,23.7,13.9,15.7,17.9,16.3,9.3,17.3,0.96,1.205,1.072,1.174,0.944,0.918
S Dakota St,2012,south,14,NA,0,0,0,0,0,0,8.2,5.3,26,24,22.3,13.3,23.976,17.789,0.29,0.24,8.6,6,0.734,0.744,22.2,22.3,13.9,13,16.2,12.7,9.8,13,1.365,1.345,1.125,1.067,0.981,0.851
Lehigh,2012,south,15,NA,1,0,0,0,0,0,7.4,8.3,25.8,28,21.6,21,23.676,20.33,0.287,0.255,8.8,8,0.724,0.785,22.2,20.7,13,14,17.8,18,10.2,12.3,1.134,1.312,1.071,1.095,0.926,0.924
W Kentucky,2012,south,16,1,0,0,0,0,0,0,5.7,5,22,21.7,22.3,32.3,22.098,32.01,0.318,0.295,10.7,8.7,0.691,0.768,22.4,25.3,11.1,9.3,19.8,15.3,-2.9,4.3,0.748,0.8,0.93,1.045,0.972,0.98
Michigan St,2012,west,1,NA,1,1,0,0,0,0,5.4,6.3,25.9,26,21.5,23.7,22.438,25.303,0.363,0.267,10.5,6.7,0.755,0.792,25,25.3,15.3,14,17.6,18.3,13.3,9.3,1.179,1.135,1.079,1.105,0.88,0.968
Missouri,2012,west,2,NA,0,0,0,0,0,0,8.2,8.7,28,31,21,20.3,23.684,23.289,0.294,0.286,8,7.3,0.696,0.645,21.4,23,16.2,17,14.1,14,14.6,15.7,1.59,1.962,1.184,1.283,0.969,1.05
Marquette,2012,west,3,NA,1,1,0,0,0,0,5.7,4.3,26.5,25,23.9,24.3,23.986,22.685,0.328,0.371,10.2,13,0.649,0.595,22.1,25,16.8,12.7,17.8,20,9.7,-3.3,1.277,0.691,1.056,0.938,0.921,0.982
Louisville,2012,west,4,NA,1,1,1,1,0,0,5.9,5,24.2,24.7,21.1,14,20.785,17.036,0.347,0.393,11.8,11.7,0.684,0.657,24.3,23.7,13.8,15.3,17.8,13.7,7.7,11,0.954,0.979,0.988,0.964,0.878,0.803
New Mexico,2012,west,5,NA,1,0,0,0,0,0,7.7,7,24.8,22,21.3,27,22.324,33.033,0.323,0.241,9.6,6.3,0.751,0.814,25,27.7,16.1,15.3,17.6,18.7,12.9,9.7,1.217,1.353,1.067,1.096,0.877,0.951
Murray St,2012,west,6,NA,1,0,0,0,0,0,7.4,5,24.6,23,24,23.3,25.628,24.036,0.338,0.244,9.3,6.7,0.677,0.697,21.3,20.7,12.5,12.3,18.3,15,11.9,9,0.905,0.974,1.087,1.007,0.913,0.871
Florida,2012,west,7,NA,1,1,1,0,0,0,9.9,9,26.4,23.3,18.9,10.7,19.929,15.868,0.318,0.25,9.7,7.3,0.714,0.639,21.6,17.7,15,15.7,15.8,13,10.2,-5,1.367,2.043,1.127,1.072,0.976,1.155
Memphis,2012,west,8,NA,0,0,0,0,0,0,5.4,5,26.8,24.7,22.6,29.3,23.343,33.282,0.29,0.303,8,7.7,0.697,0.688,23.5,25,14.7,17.3,19.1,20.3,12.1,25,1.162,1.529,1.081,1.131,0.906,0.764
Saint Louis,2012,west,9,NA,1,0,0,0,0,0,7.2,7.7,24.3,25.3,18.8,18.3,20.601,20.774,0.29,0.265,8.4,7.3,0.737,0.811,20.9,20,14,15.7,17,16.7,11.7,5,1.254,1.237,1.061,1.073,0.881,0.999
Virginia,2012,west,10,NA,0,0,0,0,0,0,4.9,3.7,22.7,22.3,17.7,24.7,20.51,26.456,0.256,0.226,6.8,6.3,0.768,0.756,22.9,21.7,12.3,12,15.8,17.7,9.4,-1,1.085,0.947,1.01,0.975,0.86,0.99
Colorado St,2012,west,11,NA,0,0,0,0,0,0,6,7,24.1,27,21.8,18.7,25.276,21.694,0.266,0.268,7.1,7.3,0.726,0.697,22,20.7,12.3,12.3,18.8,17,2.7,7,1.011,1.321,1.07,1.162,1.03,1.054
Lg Beach St,2012,west,12,NA,0,0,0,0,0,0,6.6,9.7,25.6,25.7,23.8,18.3,23.226,22.191,0.333,0.455,10.2,15,0.709,0.729,23.2,20.7,14.1,15,15.7,11.3,9.2,19.3,1.112,1.452,1.071,1.189,0.938,0.882
Davidson,2012,west,13,NA,0,0,0,0,0,0,7.7,7.3,26.5,31,21.6,18.3,23.542,18.687,0.335,0.312,10.6,9.7,0.759,0.736,24.3,26,13.5,16,20.5,21.3,9.5,12.3,1.144,1.6,1.094,1.135,0.96,0.966
BYU,2012,west,14,1,0,0,0,0,0,0,6.8,5,28,24.7,22,23,21.039,20.433,0.281,0.208,9,6.7,0.763,0.775,25.3,23,17,12.7,18.4,15.7,10.8,-1.3,1.333,0.927,1.056,0.961,0.911,0.98
Norfolk St,2012,west,15,NA,1,0,0,0,0,0,5.3,4.7,24.3,22.3,23.7,26.3,22.039,27.764,0.32,0.365,9.6,9,0.696,0.671,23.2,19,12,10.3,19.1,13.7,2.8,8.3,0.824,0.795,0.983,1.039,0.943,0.91
LIU-Brooklyn,2012,west,16,NA,0,0,0,0,0,0,6.6,6.7,27.2,27,28.5,29.3,27.215,31.158,0.327,0.333,10,10,0.67,0.631,24.8,23.3,14.8,14.3,15.8,16.7,4.5,10.7,0.932,1.303,1.067,1.171,1.008,1.02
Indiana,2013,east,1,NA,1,1,0,0,0,0,7.3,5.7,26.9,26,25.4,15.7,27.111,17.412,0.388,0.447,11.1,12.7,0.719,0.711,24.8,23,14.5,12.7,17.1,19.3,17.5,1.7,1.119,0.927,1.145,1.035,0.894,1.01
Miami (FL),2013,east,2,NA,1,1,0,0,0,0,6.7,7.7,24.9,23.3,19.1,22,19.593,25.907,0.294,0.367,8.7,9.7,0.735,0.793,24.1,21.7,11.2,10.7,14.9,18.3,9.2,11.3,1.02,0.941,1.053,1.121,0.913,0.941
